date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-31 06:53:12,530,4,1,1,2,3,1631
2020-08-31 06:53:27,530,4,1,1,2,3,1631
2020-08-31 06:53:42,530,4,1,1,2,3,1631
2020-08-31 06:53:57,531,4,1,1,2,3,1631
2020-08-31 06:54:12,531,4,1,1,2,3,1631
2020-08-31 06:54:27,531,4,1,1,2,3,1631
2020-08-31 06:54:42,531,4,1,1,2,3,1631
2020-08-31 06:54:57,531,4,1,1,2,3,1632
2020-08-31 06:55:12,531,4,1,1,2,3,1632
2020-08-31 06:55:27,531,4,1,1,2,3,1632
2020-08-31 06:55:42,531,4,1,1,2,3,1632
2020-08-31 06:55:57,531,4,1,1,2,3,1632
2020-08-31 06:56:12,531,4,1,1,2,3,1632
2020-08-31 06:56:27,531,4,1,1,2,3,1632
2020-08-31 06:56:42,531,4,1,1,2,3,1632
2020-08-31 06:56:57,531,4,1,1,2,3,1632
2020-08-31 06:57:12,531,4,1,1,2,3,1632
2020-08-31 06:57:27,531,4,1,1,2,3,1633
2020-08-31 06:57:42,531,4,1,1,2,3,1633
2020-08-31 06:57:57,531,4,1,1,2,3,1633
2020-08-31 06:58:12,531,4,1,1,2,3,1633
2020-08-31 06:58:42,531,4,1,1,2,3,1633
2020-08-31 06:58:57,531,4,1,1,2,3,1633
2020-08-31 06:59:12,531,4,1,1,2,3,1633
2020-08-31 06:59:27,531,4,1,1,2,3,1633
2020-08-31 06:59:42,531,4,1,1,2,3,1633
2020-08-31 06:59:57,531,4,1,1,2,3,1633
2020-08-31 07:00:12,531,4,1,1,2,3,1633
2020-08-31 07:00:27,531,4,1,1,2,3,1633
2020-08-31 07:00:42,531,4,1,1,2,3,1633
2020-08-31 07:00:57,531,4,1,1,2,3,1633
2020-08-31 07:01:12,531,4,1,1,2,3,1633
2020-08-31 07:01:27,531,4,1,1,2,3,1634
2020-08-31 07:01:42,531,4,1,1,2,3,1634
2020-08-31 07:01:57,531,4,1,1,2,3,1634
2020-08-31 07:02:12,531,4,1,1,2,3,1634
2020-08-31 07:02:27,531,4,1,1,2,3,1634
2020-08-31 07:02:42,531,4,1,1,2,3,1634
2020-08-31 07:02:57,531,4,1,1,2,3,1634
2020-08-31 07:03:12,531,4,1,1,2,3,1634
2020-08-31 07:03:27,531,4,1,1,2,3,1634
2020-08-31 07:03:42,531,4,1,1,2,3,1634
2020-08-31 07:03:57,531,4,1,1,2,3,1634
2020-08-31 07:04:12,531,4,1,1,2,3,1634
2020-08-31 07:04:27,531,4,1,1,2,3,1634
2020-08-31 07:04:42,531,4,1,1,2,3,1634
2020-08-31 07:04:57,531,4,1,1,2,3,1634
2020-08-31 07:05:12,531,4,1,1,2,3,1634
2020-08-31 07:05:28,531,4,1,1,2,3,1634
2020-08-31 07:05:43,531,4,1,1,2,3,1634
2020-08-31 07:05:58,531,4,1,1,2,3,1634
2020-08-31 07:06:13,531,4,1,1,2,3,1634
2020-08-31 07:06:28,531,4,1,1,2,3,1634
2020-08-31 07:06:43,531,4,1,1,2,3,1634
2020-08-31 07:06:58,531,4,1,1,2,3,1634
2020-08-31 07:07:13,531,4,1,1,2,3,1634
2020-08-31 07:07:28,531,4,1,1,2,3,1634
2020-08-31 07:07:43,531,4,1,1,2,3,1634
2020-08-31 07:07:58,531,4,1,1,2,3,1634
2020-08-31 07:08:13,531,4,1,1,2,3,1634
2020-08-31 07:08:28,531,4,1,1,2,3,1634
2020-08-31 07:08:43,531,4,1,1,2,3,1634
2020-08-31 07:08:58,531,4,1,1,2,3,1634
2020-08-31 07:09:13,531,4,1,1,2,3,1634
2020-08-31 07:09:28,531,4,1,1,2,3,1634
2020-08-31 07:09:43,531,4,1,1,2,3,1634
2020-08-31 07:09:58,531,4,1,1,2,3,1634
2020-08-31 07:10:13,531,4,1,1,2,3,1634
2020-08-31 07:10:28,531,4,1,1,2,3,1634
2020-08-31 07:10:43,531,4,1,1,2,3,1634
2020-08-31 07:10:58,531,4,1,1,2,3,1634
2020-08-31 07:11:13,531,4,1,1,2,3,1634
2020-08-31 07:11:28,531,4,1,1,2,3,1634
2020-08-31 07:11:43,531,4,1,1,2,3,1634
2020-08-31 07:11:58,531,4,1,1,2,3,1634
2020-08-31 07:12:13,531,4,1,1,2,3,1634
2020-08-31 07:12:28,531,4,1,1,2,3,1634
2020-08-31 07:12:43,531,4,1,1,2,3,1634
2020-08-31 07:12:58,531,4,1,1,2,3,1634
2020-08-31 07:13:13,531,4,1,1,2,3,1634
2020-08-31 07:13:28,531,4,1,1,2,3,1634
2020-08-31 07:13:43,531,4,1,1,2,3,1634
2020-08-31 07:13:58,532,4,1,1,2,3,1634
2020-08-31 07:14:13,532,4,1,1,2,3,1634
2020-08-31 07:14:28,532,4,1,1,2,3,1634
2020-08-31 07:14:43,532,4,1,1,2,3,1634
2020-08-31 07:14:58,532,4,1,1,2,3,1634
2020-08-31 07:15:13,532,4,1,1,2,3,1634
2020-08-31 07:15:28,532,4,1,1,2,3,1634
2020-08-31 07:15:43,532,4,1,1,2,3,1634
2020-08-31 07:15:58,532,4,1,1,2,3,1634
2020-08-31 07:16:13,532,4,1,1,2,3,1634
2020-08-31 07:16:28,532,4,1,1,2,3,1634
2020-08-31 07:16:43,532,4,1,1,2,3,1634
2020-08-31 07:16:58,532,4,1,1,2,3,1634
2020-08-31 07:17:13,532,4,1,1,2,3,1634
2020-08-31 07:17:28,532,4,1,1,2,3,1634
2020-08-31 07:17:43,532,4,1,1,2,3,1634
2020-08-31 07:17:58,532,4,1,1,2,3,1634
2020-08-31 07:18:13,532,4,1,1,2,3,1634
2020-08-31 07:18:28,532,4,1,1,2,3,1634
2020-08-31 07:18:43,532,4,1,1,2,3,1634
2020-08-31 07:18:58,532,4,1,1,2,3,1634
2020-08-31 07:19:13,532,4,1,1,2,3,1634
2020-08-31 07:19:28,532,4,1,1,2,3,1634
2020-08-31 07:19:43,532,4,1,1,2,3,1634
2020-08-31 07:19:58,532,4,1,1,2,3,1634
2020-08-31 07:20:13,532,4,1,1,2,3,1634
2020-08-31 07:20:28,532,4,1,1,2,3,1634
2020-08-31 07:20:43,532,4,1,1,2,3,1634
2020-08-31 07:20:58,532,4,1,1,2,3,1634
2020-08-31 07:21:13,532,4,1,1,2,3,1634
2020-08-31 07:21:28,532,4,1,1,2,3,1634
2020-08-31 07:21:43,532,4,1,1,2,3,1634
2020-08-31 07:21:58,532,4,1,1,2,3,1634
2020-08-31 07:22:13,532,4,1,1,2,3,1634
2020-08-31 07:22:28,532,4,1,1,2,3,1634
2020-08-31 07:22:43,532,4,1,1,2,3,1634
2020-08-31 07:22:58,532,4,1,1,2,3,1634
2020-08-31 07:23:13,532,4,1,1,2,3,1634
2020-08-31 07:23:28,532,4,1,1,2,3,1634
2020-08-31 07:23:43,532,4,1,1,2,3,1634
2020-08-31 07:23:58,532,4,1,1,2,3,1634
2020-08-31 07:24:13,532,4,1,1,2,3,1634
2020-08-31 07:24:28,532,4,1,1,2,3,1634
2020-08-31 07:24:43,532,4,1,1,2,3,1634
2020-08-31 07:24:58,532,4,1,1,2,3,1634
2020-08-31 07:25:14,533,4,1,1,2,3,1634
2020-08-31 07:25:28,533,4,1,1,2,3,1634
2020-08-31 07:25:44,533,4,1,1,2,3,1634
2020-08-31 07:25:58,533,4,1,1,2,3,1634
2020-08-31 07:26:13,533,4,1,1,2,3,1634
2020-08-31 07:26:29,533,4,1,1,2,3,1634
